code,category_eng,category_rus
0742, Veterinary Services ,Ветеринарные услуги)
0763, Agricultural Cooperative ,Сельско-хозяйственные кооперативные общества)
0780, Landscaping Services ,Ландшафтные и садоводческие магазины)
1520, General Contractors ,Генеральные подрядчики – жилищное и торговое строительство)
1711," Heating, Plumbing, A/C ","Генеральные подрядчики по вентиляции,  теплоснабжению, и водопроводу)"
1731, Electrical Contractors ,Подрядчики по электричеству)
1740," Masonry, Stonework, and Plaster ","Изоляция, мозаика, штукатурные работы, каменная кладка, облицовка плиткой, кафелем)"
1750, Carpentry Contractors ,Подрядчики плотничных работ)
1761," Roofing/Siding, Sheet Metal ","Кровельные и  работы, наружная обшивка стен, подрядчики жестяницких работ)"
1771, Concrete Work Contractors ,Подрядчики бетонных работ)
1799, Special Trade Contractors ,"Подрядчики, специализированная торговля – нигде более не классифицированные)"
2741, Miscellaneous Publishing and Printing ,Разнообразные издательства/ пе-чатное дело)
2791," Typesetting, Plate Making, and Related Services ","Набор текстов, шрифтов, таблиц и относящиеся к этому услуги)"
2842, Specialty Cleaning ,"Специальная обработка, полировка, санитария)"
3000,-3299 Airlines ,"Авиалинии, авиакомпании)"
3351,-3441 Car Rental ,Агентства по аренде автомобилей)
3501,-3790 Hotels/Motels/Inns/Resorts ,"Жилье – отели, мотели, курорты)"
4011, Railroads No1.6041-3© ,Железные дороги – перевозка грузов)
4111," Commuter Transport, Ferries ","Транспортировка – пригородные и локальные сезонные транспортные средства, включая электрички)"
4112, Passenger Railways ,пассажирские железные перевозки)
4119, Ambulance Services ,Служба скорой помощи)
4121, Taxicabs/Limousines ,Лимузины и такси)
4131, Bus Lines ,Автобусные линии)
4214," Motor Freight Carriers and Trucking – Local and Long Distance, Moving and Storage Companies, and Local Delivery Services No1.6041-3 ","Агентства по автотранспортным перевозкам, местные/дальные автогрузоперевоз-ки, компании попереезду и хранению, местная доставка)"
4215, Courier Services ,"Услуги курьера – по воздуху и на земле, агентство по отправке грузов)"
4225," Public Warehousing and Storage – Farm Products, Refrigerated Goods, Household Goods, and Storage No1.6041-3 ","Складское хранение общественного пользования –сельскохозяйственных продуктов, охлаждаемые продукты, хранение )"
4411, Cruise Lines ,Круизные линии)
4457, Boat Rentals and Leases ,Аренда и наем суден)
4468," Marinas, Service and Supplies ","Пристани для яхт, их обслуживание и поставка)"
4511," Airlines, Air Carriers ","Авиалинии, авиакомпании – нигде более не классифицированные)"
4582," Airports, Flying Fields ","Аэропорты, терминалы аэропортов, лётные поля)"
4722," Travel Agencies, Tour Operators ",Туристические агентства и организаторы экскурсий)
4723, TUI Travel – Germany, TUI Travel – Germany
